__run_id,__done,rt_threshold,utility
run_0_repetition_0,DONE,0.75,"[15.729082614816047, 16.599615789982916, 17.18869931926824, 17.216027003670106]"
run_1_repetition_0,DONE,0.5,"[15.930324868763016, 16.94503327014857, 17.4060040475138, 17.245544871970168]"
run_2_repetition_0,DONE,0.25,"[16.293272483712748, 16.83677616376958, 17.339958862442426, 17.206185010706122]"
